tid process_date process_time
181109018 2018-11-12 05:25:57.734118
181109019 2018-11-12 05:41:27.951525
181109020 2018-11-12 05:56:35.228406
181109021 2018-11-12 06:11:48.438160
181109022 2018-11-12 06:26:58.722041
181109023 2018-11-12 06:42:22.785306
181109024 2018-11-12 06:57:41.010811
181109025 2018-11-12 07:13:00.935986
181109026 2018-11-12 07:28:20.695549
181109027 2018-11-12 07:43:31.618758
181109028 2018-11-12 07:58:34.324177
181109029 2018-11-12 08:13:54.914406
181109030 2018-11-12 08:29:11.575881
181109031 2018-11-12 08:44:16.933375
181109032 2018-11-12 08:59:26.424871
181109033 2018-11-12 09:14:55.432082
181109034 2018-11-12 09:35:17.818025
181109035 2018-11-12 09:50:46.032164
181109036 2018-11-12 10:06:19.921525
181109037 2018-11-12 10:21:18.996581
181109038 2018-11-12 10:36:11.502882
181109039 2018-11-12 10:51:09.259777
181109040 2018-11-12 11:06:00.155713
181109041 2018-11-12 11:21:05.568589
181109042 2018-11-12 11:36:04.662943
181109043 2018-11-12 11:51:21.821076
181109044 2018-11-12 12:06:26.198566
181109045 2018-11-12 12:21:28.475238
181109046 2018-11-12 12:36:33.271691
181109047 2018-11-12 12:51:40.274409
181109049 2018-11-12 13:44:20.696170
181109050 2018-11-12 13:59:15.313378
181109051 2018-11-12 14:14:24.340732
181109052 2018-11-12 15:11:30.501403
181116015 2018-11-16 17:35:47.541807
181116014 2018-11-16 17:50:34.842915
181116016 2018-11-16 19:37:07.623215
181116017 2018-11-16 19:52:12.967490
181116018 2018-11-16 20:06:54.393736
181116019 2018-11-16 20:22:15.766928
181116020 2018-11-16 20:36:51.341571
181116021 2018-11-16 20:51:45.430479
181116022 2018-11-17 12:11:40.892859
181116023 2018-11-17 12:24:12.183222
181116001 2018-11-17 12:40:44.897364
181116024 2018-11-17 12:53:16.371886
181116025 2018-11-17 13:05:47.692067
181116026 2018-11-17 13:18:18.640214
181116027 2018-11-17 13:30:47.888736
181116028 2018-11-17 13:43:26.020251
181116029 2018-11-17 13:56:14.516229
181116030 2018-11-17 14:08:54.724810
181116031 2018-11-17 14:21:45.864246
181116032 2018-11-17 14:34:21.341809
181116033 2018-11-17 14:46:50.717581
181116034 2018-11-17 14:59:33.442835
181116035 2018-11-17 15:12:00.205228
181116036 2018-11-17 15:25:27.414380
181116037 2018-11-17 15:38:48.863903
181116038 2018-11-17 15:52:22.498190
181116039 2018-11-17 16:05:51.104338
181116040 2018-11-17 16:19:32.177695
181116041 2018-11-17 16:32:50.281404
181116042 2018-11-17 16:46:44.860094
181116043 2018-11-17 17:01:05.226157
181116044 2018-11-17 17:15:07.870942
181116045 2018-11-17 17:29:12.197671
181116046 2018-11-17 17:42:40.602925
181116047 2018-11-17 17:55:49.958693
181116048 2018-11-17 18:09:06.635815
181116049 2018-11-17 18:22:38.749556
181116050 2018-11-17 18:36:49.336449
181116051 2018-11-17 18:51:01.976084
181116052 2018-11-17 19:04:44.855837
181116053 2018-11-17 19:18:00.203090
181116054 2018-11-17 19:31:16.772162
181116055 2018-11-17 19:45:03.514396
181116056 2018-11-17 20:01:48.328663
181116057 2018-11-17 20:18:37.065812
181116058 2018-11-17 20:35:54.469624
181116059 2018-11-17 20:52:40.155945
181116060 2018-11-17 21:10:25.546457
181115002 2018-11-17 21:33:34.615016
181115003 2018-11-17 21:56:46.428504
181116002 2018-11-17 22:13:02.511521
181116003 2018-11-17 22:28:59.448652
181116004 2018-11-17 22:40:35.156373
181116005 2018-11-17 22:55:12.587404
181116006 2018-11-17 23:09:53.651129
181116009 2018-11-17 23:21:49.208501
181116010 2018-11-17 23:33:02.694371
181116011 2018-11-17 23:44:34.565138
181116012 2018-11-17 23:55:50.772863
181116013 2018-11-18 00:07:06.878235
181116061 2018-11-18 05:24:44.308563
181116062 2018-11-18 05:39:39.104774
181116063 2018-11-18 05:53:59.924691
181116064 2018-11-18 06:08:06.849235
181116065 2018-11-18 06:22:13.762942
181116066 2018-11-18 06:36:22.628829
181116067 2018-11-18 06:48:39.500346
181116068 2018-11-18 07:00:51.936846
181116069 2018-11-18 07:13:03.775057
181116070 2018-11-18 07:25:17.068311
181116071 2018-11-18 07:37:36.157634
181116072 2018-11-18 07:49:48.296001
181116073 2018-11-18 08:02:16.435031
181116074 2018-11-18 08:14:24.850485
181116075 2018-11-18 08:26:34.849360
181116076 2018-11-18 08:38:38.431167
181116077 2018-11-18 08:50:41.420541
181116078 2018-11-18 09:02:41.427205
181116079 2018-11-18 09:14:37.626328
181116080 2018-11-18 09:26:38.096304
181116081 2018-11-18 09:38:40.698584
181116082 2018-11-18 09:50:40.041483
181116083 2018-11-18 10:07:10.012663
181116084 2018-11-18 10:20:00.679685
181116085 2018-11-18 10:33:13.112983
181116086 2018-11-18 10:47:02.119648
181116087 2018-11-18 11:01:24.194499
181116088 2018-11-18 11:15:18.667375
181116089 2018-11-18 11:27:17.230973
181116090 2018-11-18 11:40:45.958700
181116091 2018-11-18 11:53:56.672243
181116092 2018-11-18 12:07:04.399863
181116093 2018-11-18 12:23:08.560670
181116094 2018-11-18 12:36:07.817066
181116096 2018-11-18 12:49:10.763078
181116097 2018-11-18 13:02:21.124414
181116098 2018-11-18 13:15:29.870421
181116099 2018-11-18 13:29:12.793184
181116100 2018-11-18 13:42:59.164138
181116101 2018-11-18 13:56:56.800511
181116102 2018-11-18 14:10:32.938655
181116103 2018-11-18 14:24:15.376740
181116104 2018-11-18 14:38:20.583202
181116105 2018-11-18 14:51:23.698657
181116106 2018-11-18 15:04:22.828073
181116107 2018-11-18 15:17:07.511441
181116108 2018-11-18 15:29:36.536941
181116109 2018-11-18 15:41:51.511458
181116110 2018-11-18 15:54:02.840212
181116111 2018-11-18 16:06:11.171513
181116112 2018-11-18 16:18:38.755676
181116113 2018-11-18 16:31:02.376288
181116114 2018-11-18 16:43:06.146601
181116115 2018-11-18 16:57:11.969091
181116116 2018-11-18 17:09:25.614452
181116117 2018-11-18 17:21:31.473391
181116118 2018-11-18 17:33:39.579966
181116119 2018-11-18 17:45:49.839935
181116120 2018-11-18 17:57:57.709755
181116121 2018-11-18 18:10:08.214969
181116122 2018-11-18 18:22:18.409410
181116123 2018-11-18 18:34:23.879249
181116124 2018-11-18 18:46:34.811228
181116125 2018-11-18 18:58:40.967096
181116126 2018-11-18 19:12:02.779320
181116127 2018-11-18 19:24:10.661115
181116128 2018-11-18 19:36:22.059226
181116129 2018-11-18 19:48:48.865569
181116130 2018-11-18 20:00:50.230474
181116131 2018-11-18 20:12:58.394072
181116132 2018-11-18 20:24:59.631519
181116133 2018-11-18 20:37:02.310514
181116134 2018-11-18 20:49:06.644802
181116135 2018-11-18 21:01:07.170994
181116136 2018-11-18 21:13:11.558810
181116137 2018-11-18 21:26:49.940595
181116138 2018-11-18 21:38:51.141457
181116139 2018-11-18 21:50:55.323272
181116140 2018-11-18 22:02:58.693802
181120001 2018-11-20 20:34:47.696334
181120002 2018-11-20 21:44:22.986876
181120006 2018-11-20 22:01:33.810902
181120007 2018-11-20 22:15:23.704656
181120009 2018-11-20 22:29:19.263203
181120010 2018-11-20 22:40:41.802651
181120011 2018-11-20 22:51:38.806928
181120008 2018-11-20 23:08:29.706713
181123004 2018-11-23 11:45:36.677312
181123002 2018-11-23 12:23:07.825089
181123003 2018-11-23 12:43:15.292003
181123005 2018-11-23 12:55:42.239695
181123001 2018-11-23 13:13:09.448473
181123009 2018-11-23 13:30:33.143328
181123010 2018-11-23 13:47:16.811959
181123011 2018-11-23 14:03:20.100950
181123012 2018-11-23 14:18:10.755805
181123013 2018-11-23 14:31:17.800029
181123014 2018-11-23 14:47:45.989534
181123015 2018-11-23 17:37:57.013342
181123016 2018-11-24 16:23:49.297517
181123017 2018-11-24 16:45:38.444148
181123018 2018-11-25 04:59:59.156111
181123019 2018-11-25 11:52:33.900395
181123020 2018-11-25 12:09:00.791845
181123021 2018-11-25 12:22:59.799480
181123022 2018-11-25 12:37:12.693037
181123023 2018-11-25 12:51:18.397631
181123024 2018-11-25 13:05:23.433030
181123025 2018-11-26 02:48:47.309612
181123026 2018-11-26 03:03:51.266676
181123027 2018-11-26 03:18:04.378384
181123028 2018-11-26 03:32:11.168807
181123029 2018-11-26 03:46:13.045911
181123030 2018-11-26 04:00:16.383794
#181129001 2018-11-29 11:37:42.241423
